iter	RMSE
0	0.4967671605
1	0.4958892301
2	0.49543971
3	0.4949703742
4	0.4937617761
5	0.4931313315
6	0.492623345
7	0.4919704896
8	0.4915349747
9	0.4910329976
10	0.4904665872
11	0.4899880491
12	0.4893997739
13	0.4887694661
14	0.4882120875
15	0.4873826518
16	0.486753171
17	0.4860177239
18	0.4852918048
19	0.4845105096
20	0.4837225721
21	0.4829898931
22	0.482442059
23	0.4818295007
24	0.481205714
25	0.480777209
26	0.4799224475
27	0.4795691895
28	0.4789911101
29	0.4783621778
30	0.4775509235
31	0.4769118748
32	0.4764698569
33	0.4758176586
34	0.4749218245
35	0.4749100181
36	0.4742582587
37	0.4736281183
38	0.473136218
39	0.4726234834
40	0.4719934226
41	0.471490232
42	0.4706405973
43	0.4703622376
44	0.4694764012
45	0.4688654103
46	0.4681374522
47	0.4677138354
48	0.4668498325
49	0.4662706378
