iter	Passed	Remaining
0	132	6497
1	133	3206
2	135	2115
3	136	1571
4	140	1264
5	142	1041
6	143	879
7	144	760
8	146	665
9	147	589
10	148	526
11	149	474
12	151	430
13	153	394
14	155	362
15	156	332
16	157	306
17	158	282
18	160	261
19	161	241
20	162	224
21	163	208
22	164	193
23	165	179
24	166	166
25	168	155
26	170	144
27	170	134
28	171	124
29	172	115
30	173	106
31	174	98
32	175	90
33	176	83
34	177	76
35	178	69
36	178	62
37	179	56
38	180	51
39	182	45
40	183	40
41	184	35
42	185	30
43	186	25
44	186	20
45	187	16
46	188	12
47	189	7
48	190	3
49	191	0
