ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
708746,17/08/2017,17/08/2017,916,103916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0
708749,17/08/2017,17/08/2017,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0
708771,17/08/2017,17/08/2017,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0
708815,30/08/2017,30/08/2017,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0
708818,17/08/2017,17/08/2017,916,103928,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0
708820,17/08/2017,17/08/2017,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0
708889,17/08/2017,17/08/2017,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0
708895,17/08/2017,17/08/2017,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0
708953,17/08/2017,17/08/2017,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0
708958,30/08/2017,30/08/2017,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0
708979,30/08/2017,30/08/2017,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0
709023,29/08/2017,29/08/2017,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0
709038,29/08/2017,29/08/2017,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0
709040,29/08/2017,29/08/2017,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0
709059,30/08/2017,30/08/2017,916,103968,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0
709105,30/08/2017,30/08/2017,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0
709115,30/08/2017,30/08/2017,916,103978,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0
709124,30/08/2017,30/08/2017,916,103979,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0
709179,30/08/2017,30/08/2017,916,103988,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0
709183,30/08/2017,30/08/2017,916,103989,35-39,M,16,20,22,21026.0,4,4.630000114,2.0,1.0
709320,17/08/2017,17/08/2017,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0
709323,17/08/2017,17/08/2017,916,104012,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0
709326,18/08/2017,18/08/2017,916,104013,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0
709327,18/08/2017,18/08/2017,916,104013,35-39,M,16,22,20,12193.0,2,3.059999943,1.0,1.0
709328,18/08/2017,18/08/2017,916,104013,35-39,M,16,19,18,3332.0,0,0.0,1.0,1.0
709455,18/08/2017,18/08/2017,916,104034,35-39,M,7,12,10,559.0,0,0.0,1.0,0.0
709544,18/08/2017,18/08/2017,916,104049,35-39,M,29,33,32,7440.0,2,2.980000019,1.0,1.0
709614,19/08/2017,19/08/2017,916,104061,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0
709756,19/08/2017,19/08/2017,916,104085,40-44,M,16,21,21,10976.0,2,1.690000057,1.0,1.0
709761,18/08/2017,18/08/2017,916,104085,40-44,M,16,19,20,2861.0,0,0.0,1.0,0.0
709899,18/08/2017,18/08/2017,916,104108,40-44,M,15,18,20,1398.0,0,0.0,1.0,1.0
709901,18/08/2017,18/08/2017,916,104109,40-44,M,16,18,20,23817.0,7,8.470000148,1.0,1.0
710045,17/08/2017,17/08/2017,916,104133,45-49,M,16,22,17,47224.0,12,15.82000017,1.0,0.0
710088,17/08/2017,17/08/2017,916,104140,45-49,M,24,26,27,2283.0,1,1.470000029,1.0,0.0
710360,17/08/2017,17/08/2017,916,104185,45-49,M,21,26,24,2182.0,1,1.529999971,1.0,1.0
710477,17/08/2017,17/08/2017,916,104205,30-34,F,16,19,19,2654.0,0,0.0,1.0,1.0
710480,17/08/2017,17/08/2017,916,104205,30-34,F,16,21,20,57665.0,14,18.06999969,1.0,1.0
710571,18/08/2017,18/08/2017,916,104220,30-34,F,32,37,38,3091.0,1,1.610000014,1.0,1.0
710617,18/08/2017,18/08/2017,916,104228,30-34,F,15,19,16,5014.0,1,1.190000057,1.0,0.0
710623,18/08/2017,18/08/2017,916,104229,30-34,F,16,19,20,38726.0,7,9.220000267,1.0,0.0
710628,17/08/2017,17/08/2017,916,104230,30-34,F,18,24,22,1473.0,0,0.0,1.0,0.0
710682,29/08/2017,29/08/2017,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0
710763,29/08/2017,29/08/2017,916,104252,30-34,F,15,19,17,5369.0,1,1.50999999,1.0,0.0
710836,27/08/2017,27/08/2017,916,104265,30-34,F,29,33,31,22221.0,7,9.430000067,1.0,1.0
710867,26/08/2017,26/08/2017,916,104270,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0
710880,26/08/2017,26/08/2017,916,104272,30-34,F,65,70,68,13019.0,5,6.960000038,1.0,0.0
710961,27/08/2017,27/08/2017,916,104285,35-39,F,25,29,26,2508.0,1,1.220000029,1.0,0.0
710968,27/08/2017,27/08/2017,916,104287,35-39,F,27,31,29,5864.0,2,2.799999952,1.0,1.0
711217,27/08/2017,27/08/2017,916,104328,35-39,F,20,26,23,2783.0,1,1.600000024,1.0,0.0
711623,27/08/2017,27/08/2017,916,104396,40-44,F,15,18,20,3812.0,1,1.129999995,2.0,1.0
711764,27/08/2017,27/08/2017,916,104419,45-49,F,10,16,11,11199.0,4,5.730000019,1.0,1.0
711785,26/08/2017,26/08/2017,916,104423,45-49,F,19,25,23,292.0,0,0.0,1.0,0.0
711877,26/08/2017,26/08/2017,916,104438,45-49,F,63,67,65,17572.0,7,9.379999995,1.0,0.0
712052,25/08/2017,25/08/2017,916,104467,45-49,F,10,13,11,1448.0,0,0.0,1.0,1.0
734209,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,14,1772.0,0,0.0,1.0,1.0
734210,25/08/2017,25/08/2017,936,108654,30-34,M,10,16,13,13329.0,4,5.629999995,1.0,1.0
734215,26/08/2017,26/08/2017,936,108655,30-34,M,15,19,17,13659.0,3,3.840000033,1.0,0.0
